State/Union Territory,lat,lng
Andhra Pradesh,15.9128998,79.7399875
Arunachal Pradesh,28.2179994,94.7277528
Assam,26.2006043,92.9375739
Bihar,25.0960742,85.3131194
Chhattisgarh,21.2786567,81.8661442
Goa,15.2993265,74.123996
Gujarat,22.258652,71.1923805
Haryana,29.0587757,76.085601
Himachal Pradesh,31.1048294,77.1733901
Jammu & Kashmir,34.7266016,76.8570259
Jharkhand,23.6101808,85.2799354
Karnataka,15.3172775,75.7138884
Kerala,10.8505159,76.2710833
Madhya Pradesh,22.9734229,78.6568942
Maharashtra,19.7514798,75.7138884
Manipur,24.6637173,93.9062688
Meghalaya,25.4670308,91.366216
Mizoram,23.164543,92.9375739
Nagaland,26.1584354,94.5624426
Odisha,20.9516658,85.0985236
Punjab,31.1471305,75.3412179
Rajasthan,27.0238036,74.2179326
Sikkim,27.5329718,88.5122178
Tamil Nadu,11.1271225,78.6568942
Telengana,18.1124372,79.0192997
Tripura,23.9408482,91.9881527
Uttarakhand,30.066753,79.0192997
Uttar Pradesh,26.8467088,80.9461592
West Bengal,22.9867569,87.8549755
A. & N. Islands,48.3705449,10.89779
Chandigarh,30.7333148,76.7794179
D. & N. Haveli,37.7093735,-89.2199264
Daman & Diu,41.6765611,-86.1490203
Delhi,28.7040592,77.1024902
Lakshadweep,10.3280265,72.7846336
Puducherry,13.801001,78.925532
